Wall time,Step,Value
1763365461.0531852,972800,-2.4900689125061035
1763365468.5097108,974848,-2.4868109226226807
1763365476.6953707,976896,-2.48694109916687
1763365485.0678053,978944,-2.4881949424743652
1763365492.528872,980992,-2.4860150814056396
1763365500.851281,983040,-2.4905269145965576
1763365509.1351976,985088,-2.4898478984832764
1763365516.6181817,987136,-2.4884390830993652
1763365524.9184647,989184,-2.4883780479431152
1763365532.9035246,991232,-2.487139940261841
1763365540.6005867,993280,-2.4865241050720215
1763365548.9253628,995328,-2.487438917160034
1763365556.7985945,997376,-2.485887050628662
1763365564.7116182,999424,-2.487449884414673
1763365573.0535324,1001472,-2.4906160831451416
